KEYWORDS,DESTINY,SPECIFIC,FINAL
CELLULITIS,4,4.04,4.04
RASH,4,,4
COLD SYMPTOMS,4,4.02,4.02
ABSCESS,4,4.04,4.04
FLU,4,4.02,4.02
FEVERS,4,4,4
FEBRILE,4,4,4
LOCAL INFEC.& ABCESS,4,4.04,4.04
INFECTED,4,4.01,4.01
INFECTION,4,4.01,4.01
FLU-LIKE/COLD SYMPTOMS,4,4.02,4.02
INFECTIOUS DISEASE/CONTACT,4,4.06,4.06
CORYZA,4,4.02,4.02
SEPSIS,4,4.03,4.03
VIRAL,4,4.05,4.05
FLU-LIKE SYMPTOMS,4,4.02,4.02
FEVER/RASH,4,4,4
FLU,4,4.02,4.02
FEVER/UNWELL,4,4,4
FEVERS,4,4,4
FEVER/VOMITING,4,4,4
PYELONEPHRITIS,4,15.03,15.03
LETHARGY,3,3,3
HAEMORRHAGE,3,3.1,3.1
LETHARGY/ MALAISE,3,3,3
DEHYDRATION,3,3.2,3.2
UNSETTLED,3,3,3
CONCERN,3,3.4,3.4
HB,3,3.1,3.1
WEIGHT,3,3.3,3.3
ANOREXIA,3,3.3,3.3
ELECTROLYTE,3,3.2,3.2
LETHERGY,3,3,3
UNWELL,3,3,3
HYPERKALAEMIA,3,3.2,3.2
PATIENT CARE REVIEW,8,8,8
BACK,9,9.01,9.01
"PAIN, LIMB LOWER",9,9.02,9.02
"PAIN,LIMB UPPER",9,9.03,9.03
SWELLNG,9,9.11,9.11
BACK PAIN,9,9.01,9.01
KNEE,9,9.02,9.02
WRIST,9,9.03,9.03
ARM,9,9.03,9.03
FOREARM,,9.03,9.03
LEG,9,9.02,9.02
SPRAINS,9,9.1,9.1
HAND,9,9.03,9.03
FINGER,9,9.03,9.03
FOOT,9,9.02,9.02
ANKLE,9,9.02,9.02
WALL,9,9.04,9.04
HIP,9,9.02,9.02
BACKPAIN ,9,9.01,9.01
SHOULDER,9,9.03,9.03
DISLOCATION,9,9.06,9.06
DISLOCATED,9,9.06,9.06
THORACIC,9,9.01,9.01
LUMBAR,9,9.01,9.01
RIB,9,9.04,9.04
STERNAL,9,9.04,9.04
SCIATICA,9,9.01,9.01
PELVIC,9,9.05,9.05
THUMB,9,9.03,9.03
TOE,9,9.02,9.02
THIGH,9,9.02,9.02
ELBOW,9,9.03,9.03
JOINT,9,9,9
COCCYX,9,9.05,9.05
LIMB,9,9,9
DIZZINESS,10,10.02,10.02
HEADACHE,10,10.01,10.01
SEIZURE,10,10.03,10.03
"PAIN,OTHER",10,,10
VERTIGO,10,10.02,10.02
ATAXIA,10,10.04,10.04
ATAXIC,10,10.04,10.04
UNSTEADY,10,10.04,10.04
UNSTEAD ,10,10.04,10.04
ICTAL,10,10.03,10.03
CONSCIOUSNESS,10,10.05,10.05
CONSCIOUS ,10,10.05,10.05
UNCONSCIOUS,10,10.05,10.05
SENSATION,10,10,10
LOC,10,10.05,10.05
DIZZY,10,10.02,10.02
CONFUSION,10,10.06,10.06
CONFUSION/DISORIENTATION,10,10.06,10.06
SPEECH,10,10.1,10.1
NUMBNESS/DECREASED SENSATION,10,10.07,10.07
DIZZYNESS,10,10.02,10.02
MIGRAINE,10,10.01,10.01
CVA,10,10.08,10.08
STROKE,10,10.08,10.08
WEAKNESS,10,10.09,10.09
GCS,10,10.05,10.05
NUMBNESS ,10,10.07,10.07
DROOP,10,10.11,10.11
CONFUSED,10,10.06,10.06
DIPLOPIA,10,10.12,10.12
POST-ICTAL,10,10.03,10.03
CONVULSION,10,10.03,10.03
UNRESPONSIVE,10,10.05,10.05
MOBILIT,10,10.04,10.04
MOBILITY,10,10.04,10.04
POSTICTAL,10,10.03,10.03
DYSPHASIA,10,10.1,10.1
DIZZINESS/NAUSEA,10,10.02,10.02
LIGHTHEADEDNESS,10,10.02,10.02
FITS,10,10.03,10.03
FITTING,10,10.03,10.03
DIZZY/HEADACHE,10,10.02,10.02
IRRITABLE,10,10.13,10.13
MENTAL HEALTH,11,11,11
SUICIDAL,11,11.03,11.03
DEPRESSED,11,11.01,11.01
DEPRESSION,11,11.01,11.01
ANXIOUS,11,11.02,11.02
ANXIETY,11,11.02,11.02
MH,11,11,11
SELF HARM,11,11.03,11.03
SELF INFLICTED,11,11.03,11.03
BEHVIOURAL,11,11,11
AGITATION,11,11.04,11.04
AGITAT ED,11,11.04,11.04
SCHIZOPHRENIA,11,11.06,11.06
HALLUCINATIONS,11,11.07,11.07
SECTION,11,11.05,11.05
PSYCHIATRY,11,11,11
PSYCH ,11,11,11
PSYCHIATRIC ,11,11,11
SUICIDE ,11,11.03,11.03
EMOTIONAL,11,11,11
AGGRESSION,11,11.04,11.04
INSOMNIA,11,11.09,11.09
MENTAL,11,11,11
EATING DISORDER,11,11.08,11.08
BEHAVIOUR,11,11,11
DELIBERATE,11,11.03,11.03
PARANOIA,11,11.07,11.07
PARANOID,11,11.07,11.07
AGGRESSIVE,11,11.04,11.04
MHA,11,11,11
HALLUCINATING,11,11.07,11.07
SCHEDULED,11,11.05,11.05
PSYCHOSIS,11,11.07,11.07
PSYCHOTIC,11,11.07,11.07
SEC ,11,11.05,11.05
SECT ,11,11.05,11.05
OVERDOSE,12,12,12
INTOXICATION,12,12.01,12.01
INTOXICATED ,12,12.01,12.01
DRUNK,12,12.01,12.01
DRINKS,12,12.01,12.01
ETOH,12,12.01,12.01
ETHANOL,12,12.01,12.01
ALCOHOL,12,12.01,12.01
POISONING,12,12,12
INGESTION,12,12,12
INGEST,12,12,12
OD,12,12,12
DRUG ,12,12,12
WITHDRAWAL,12,12.02,12.02
EAR,13,13.01,13.01
NOSE,13,13.02,13.02
EPISTAXIS,13,13.02,13.02
THROAT,13,13.03,13.03
SORE THROAT (PHARYNGITIS),13,13.03,13.03
EYE,13,13.04,13.04
MOUTH,13,13.05,13.05
TOOTHACHE,13,13.06,13.06
TEETH,13,13.06,13.06
DENTAL,13,13.06,13.06
ORAL,13,13.05,13.05
RETINAL/VITREAL DISORDER,13,13.04,13.04
CORNEAL,13,13.041,13.041
CORNEA ,13,13.041,13.041
VISION,13,13.042,13.042
VISUAL,13,13.042,13.042
EYELID/LACRIMAL DISORDER,13,13.04,13.04
EARACHE,13,13.01,13.01
NECK,13,13.07,13.07
TONSILITIS,13,13.03,13.03
JAW,13,13.05,13.05
NASAL,13,13.02,13.02
ANTERIOR CHAMBER DISORDER,13,13.04,13.04
GUMS,13,13.05,13.05
ORBITAL,13,13.04,13.04
CONJUNCTIVITIS,13,13.041,13.041
SINUSITIS,13,13.02,13.02
QUINSY,13,13.03,13.03
TONSILLECTOMY,13,13.031,13.031
PRESECRIPTION,14,14.01,14.01
INVESTIGATION,14,14.04,14.04
MEDICATION,14,14.01,14.01
CARE - WOUND CARE / DRESSING,14,14.03,14.03
CHANGE DRESSING/REMOVAL OF SUTURES,14,14.03,14.03
ABNORMAL RESULTS,14,14.04,14.04
DRESSING,14,14.03,14.03
GENERAL MEDICAL EXAMINATION,14,14.05,14.05
MEDICATION ADMINISTRATION / DISPENSING,14,14.01,14.01
"REQUEST, OTHER",14,14.05,14.05
IDC,14,14.09,14.09
PREARRANGED OR REFERRED FOR FOLLOW-UP,14,14.05,14.05
EXPECTED,14,14.08,14.08
MEDICAL CERTIFICATE/SCRIPT,14,14.02,14.02
CHANGE DRESSING OR REMOVAL OF SUTURES,14,14.03,14.03
REQUEST INVESTIGATION,14,14.04,14.04
SUTURE,14,14.03,14.03
MEDICAL CERTIFICATE/ SCRIPT,14,14.02,14.02
NEEDLE STICK/BODY FLUID EXPOSURE,14,14.06,14.06
REVIEW,14,14.05,14.05
NEEDLE STICK,14,14.06,14.06
PEP,14,14.07,14.07
PATIENT GENERATED REQUEST,14,14,14
MEDICATION,14,14.01,14.01
VENESECTION,14,14.04,14.04
PATHOLOGY,14,14.04,14.04
METHADONE,14,14.01,14.01
DRESSINGS: SURG.; GENERAL,14,14.03,14.03
ORTHO REVIEW,14,14.05,14.05
R/V,14,14.05,14.05
GENERAL CHECK UP,14,14.05,14.05
PPFI,14,14.05,14.05
ADMISSION,14,14.08,14.08
DIAGNOSTIC IMAGING PROCEDURE,14,14.04,14.04
CARE - IMMUNISATION / PROPHYLAXIS,14,14.01,14.01
DAILY MEDICATION,14,14.01,14.01
CARE - GASTROSTOMY/NASOGASTRIC TUBE,14,14.09,14.09
BLOOD TEST ONLY,14,14.04,14.04
INR,14,14.04,14.04
PRESECRIPTION,14,14.01,14.01
XRAY,14,14.04,14.04
NEEDLESTICK,14,14.06,14.06
EXPECTED,14,14.08,14.08
PARENTAL REQUEST FOR CHECK-UP,14,14.05,14.05
C.A.R.,14,14.05,14.05
CLINIC,14,14.05,14.05
MEDICATIONS,14,14.01,14.01
REQUEST,14,14.05,14.05
TEST,14,14.04,14.04
RV,14,14.05,14.05
RESULTS,14,14.04,14.04
REV ,14,14.05,14.05
IMC,14,14.05,14.05
CARE WOUNDCARE/DRESS,14,14.03,14.03
TRIAGE BYPASS,14,14.08,14.08
MEDS,14,14.01,14.01
PAIN MANAGEMENT,14,14.01,14.01
PATHOLOGY COLLECTION,14,14.04,14.04
POP CHECK OR REMOVAL,14,14.03,14.03
ABS ,14,14.01,14.01
BLOODS,14,14.04,14.04
RECALL,14,14.08,14.08
PLASTER,14,14.03,14.03
IMMUNISATION,14,14.01,14.01
CERTIFICATE,14,14.02,14.02
POP ,14,14.03,14.03
RECALLED,14,14.08,14.08
RECALL,14,14.08,14.08
BOADER,14,16,16
FOR APAC,14,14.05,14.05
TRACHEOSTOMY,14,14.09,14.09
MEDICATION,14,14.01,14.01
SA,14,14.1,14.1
SAC,14,14.1,14.1
SEXUAL,14,14.1,14.1
DNAC,21,21,21
DID NOT WAIT,21,21,21
DNW,21,21,21
URINARY,15,15,15
URINE,15,15,15
FLANK,15,15.02,15.02
PYELONEPHRITIS,15,15.03,15.03
HAEMATURIA,15,15.01,15.01
UTI,15,15.03,15.03
PENIS,15,15.04,15.04
PENILE,15,15.04,15.04
RENAL,15,15.05,15.05
KIDNEY,15,15.05,15.05
TESTICULAR,15,15.06,15.06
SPC,15,15.07,15.07
HEMATURIA,15,15.01,15.01
TESTICLE ,15,15.06,15.06
TORSION,15,15.06,15.06
CARER CONCERN,16,16,16
SOCIAL,16,16,16
DECREASING MOBILITY/ADLS,16,16,16
CRISIS,16,16,16
ACOPIA,16,16,16
HYPERGLYCAEMIA,17,17.01,17.01
HYPOGLYCAEMIA,17,17.02,17.02
DKA,17,17.03,17.03
DIABETIC KETOACIDOSIS,17,17.03,17.03
THYROID,17,17.04,17.04
DIABETES,17,17,17
DIABETIC ,17,17,17
TSH,17,17.04,17.04
BSL,17,17,17
HYPERGLYCEMIA,17,17.01,17.01
HYPERGLYCAEMIC,17,17.01,17.01
PREGNANCY ,18,18.02,18.02
PVB,18,18.01,18.01
TRIMESTER,18,18.02,18.02
VAGINAL,18,18.03,18.03
OVARIAN,18,18,18
PV ,18,18.03,18.03
PREGNANT,18,18.02,18.02
GESTATION,18,18.02,18.02
GEST ,18,18.02,18.02
MENTRUAL,18,18,18
VAGINA ,18,18,18
OBSTETRICS,18,18.02,18.02
GYNAECOLOGICAL,18,18,18
GYNAE ,18,18,18
MISCARRIAGE,18,18.04,18.04
POSTNATAL,18,18.05,18.05
NATAL,18,18.02,18.02
MASTITIS,18,18.09,18.09
HYPEREMESIS,18,18.06,18.06
HYPEREMISIS,18,18.06,18.06
LABOUR,18,18.07,18.07
ECTOPIC,18,18.08,18.08
FOETAL,18,18,18
FETAL,18,18,18
LABOUR/ BIRTH,18,18.07,18.07
BARTHOLINS,18,18,18
OVUM,18,18,18
BIRTHING,18,18.07,18.07
ALLERGY,19,19.1,19.1
ANAPHYLACTIC,19,19.1,19.1
ANAPHYLAXIS,19,19.1,19.1
ALLERGIC,19,19.1,19.1
URTICARIA,19,19.1,19.1
SKIN,19,19.2,19.2
BOIL,19,19.21,19.21
RASH,19,19.3,19.3
CELLULITIS,19,19.22,19.22
DERMATOLOGICAL,19,19.2,19.2
TICK,19,19.4,19.4
BREAST,19,19.5,19.5
SHINGLES,19,19.6,19.6
CYST,19,19.7,19.7
ULCERS,19,19.8,19.8
SPLINTER,19,19.9,19.9
ECZEMA,19,19.1,19.1
BOILS,19,19.21,19.21
BLISTERS,19,19.3,19.3
"CHEMOTHERAPY/ HAEMATOLOGY/ONCOLOGY, COMPLICATIONS",20,20,20
ANAEMIA,20,20,20
LOW HB,20,20,20
CHEMOTHERAPY ,20,20,20
IMMUNOSUPPRESSED,20,20,20
PLATELETS,20,20,20
CANCER,20,20,20
NEOPLASM,20,20,20
LYMPHOMA,20,20,20
LEUKAEMIA,20,20,20
METASTASES,20,20,20
